ÍNDICE DE PRECIOS AL CONSUMIDOR - IPC -		
VARIACIÓN PORCENTUAL MENSUAL NACIONAL		

NIVEL	Cód. CCIF	Descripción CCIF
Subclase	12311	Joyería, relojes de pared y relojes de pulsera
Producto	12311347	RELOJ DE MANO
Producto	12311348	ANILLO
Clase	1232	Otros efectos personales (SD)
Subclase	12321	Artículos personales varios
Producto	12321349	BOLSOS Y CARTERAS
Producto	12321350	GAFAS PARA SOL
Producto	12321351	MOCHILA ESCOLAR
Grupo	124	Protección social
Clase	1240	Protección social (S)
Subclase	12401	Guarderías y casas cunas
Producto	12401352	SERVICIO DE GUARDERÍAS INFANTILES
Grupo	125	Seguros
Clase	1252	Seguro relacionado con la vivienda (S)
Subclase	12521	Seguro relacionado con la vivienda
Producto	12521353	SEGURO PARA LA VIVIENDA
Clase	1253	Seguro relacionado con la salud (S)
Subclase	12531	Seguro relacionado con la salud
Producto	12531354	SEGURO DE SALUD
Clase	1254	Seguro relacionado con el transporte (S)
Subclase	12541	Seguro relacionado con el transporte
Producto	12541355	SEGURO DE VEHÍCULO
Grupo	126	Servicios financieros n.e.p.
Clase	1262	Otros servicios financieros n.e.p. (S)
Subclase	12621	Servicios financieros
Producto	12621356	SERVICIOS BANCARIOS
Grupo	127	Otros servicios n.e.p.
Clase	1270	Otros servicios n.e.p. (S)
Subclase	12701	Servicios judiciales, sociales y fotocopias
Producto	12701357	GASTOS COMPROMISOS SOCIALES
Producto	12701358	SERVICIOS JUDICIALES
Producto	12701359	FOTOCOPIAS
