"","area","prov","sexo","f1_s2_8_1","region","etnia","gedad_meses","f1_s1_1","f1_s1_2","f1_s1_3","f1_s1_4","f1_s1_5","f1_s1_6_1","f1_s1_6_2","f1_s1_6_3","f1_s1_9","f1_s1_11","f1_s1_12","f1_s1_13","f1_s1_21","f1_s1_24","f1_s1_25","f1_s1_42","f1_s1_43","f1_s1_44_1","f1_s1_44_2","f1_s1_44_3","f1_s1_44_4","f1_s1_44_5","f1_s1_44_6","f1_s1_44_7","f1_s1_44_10","f1_s6_1_1","f1_s6_1_2","f1_s6_1_3","dcronica"
"16645","Urbano","Pr_21","Hombre","ISSFA","Oriente","3","8","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","NO","DCI_0"
"2486","Rural","Pr_05","Mujer","IESSGen","Costa","3","8","Empedrado","Casa","Asbesto","Duela","Asbesto","Regular","Regular","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","Pila","DentroVivienda","Pila","SI","SI","SI","SI","NO","SI","NO","SI","SI","SI","NO","SI","SI","DCI_0"
"10074","Rural","Pr_12","Hombre","IESSGen","Sierra","3","6","Carretera","Casa","Zinc","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","NoTiene","PozoSeptico","Pozo","TuberiaFueraDentro","PozoEntubado","NO","NO","SI","NO","SI","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"7772","Urbano","Pr_10","Hombre","ISSFA","Costa","2","7","Empedrado","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"15045","Urbano","Pr_18","Mujer","Ninguno","Costa","3","1","Carretera","Casa","Hormigon","Duela","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","NO","SI","NO","NO","SI","SI","SI","SI","NO","NO","NO","NO","DCI_0"
"9116","Urbano","Pr_12","Mujer","Ninguno","Sierra","3","8","Carretera","Depar","Zinc","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"12576","Urbano","Pr_15","Mujer","IESSGen","Oriente","3","8","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
"12455","Rural","Pr_14","Mujer","Ninguno","Oriente","1","3","Lastrado","Mediagua","Zinc","Duela","Madera","Malo","Malo","Malo","Gas","Entierran","NoTiene","NoTiene","Rio","Otro","RioAce","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","DCI_1"
"9455","Rural","Pr_12","Hombre","Ninguno","Sierra","3","1","Lastrado","Depar","Zinc","Tabla","Baha","Malo","Malo","Malo","Gas","Queman","ExclusivoHogar","PozoSeptico","Pozo","DentroVivienda","PozoEntubado","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO","SI","NO","NO","DCI_1"
"7928","Urbano","Pr_10","Mujer","IESSGen","Costa","3","2","Lastrado","Casa","Hormigon","Ceramica","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","NO","SI","NO","SI","SI","SI","SI","NO","SI","NO","SI","DCI_0"
"2776","Rural","Pr_05","Hombre","IESSGen","Costa","3","8","Lastrado","Casa","Asbesto","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","NO","DCI_0"
"15019","Urbano","Pr_18","Hombre","Ninguno","Costa","3","6","Carretera","Casa","Zinc","Duela","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","NO","SI","SI","SI","SI","NO","NO","NO","NO","DCI_1"
"4758","Rural","Pr_07","Hombre","Ninguno","Sierra","4","8","Carretera","Casa","Zinc","Tabla","Hormigon","Regular","Bueno","Regular","Gas","Municipio","NoTiene","PozoSeptico","RedPublica","DentroVivienda","Red","SI","SI","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"1982","Rural","Pr_04","Hombre","Ninguno","Costa","3","3","Lastrado","Mediagua","Otro","Tabla","Madera","Malo","Malo","Malo","Gas","Queman","NoTiene","PozoSeptico","Rio","Otro","RioAce","NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","DCI_1"
"10733","Urbano","Pr_13","Hombre","IESSGen","Sierra","3","7","Carretera","Depar","Asbesto","Ceramica","Asbesto","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","SI","SI","SI","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
"14","Urbano","Pr_01","Hombre","IESSGen","Costa","3","1","Lastrado","Casa","Zinc","Tabla","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","SI","DCI_0"
"1348","Rural","Pr_03","Hombre","IESSGen","Costa","3","4","Lastrado","Casa","Zinc","Cemento","Asbesto","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"16895","Urbano","Pr_21","Mujer","Ninguno","Oriente","3","7","Carretera","Depar","Asbesto","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"19485","Rural","Pr_23","Hombre","Ninguno","Costa","3","4","Lastrado","Casa","Hormigon","Cemento","Hormigon","Bueno","Bueno","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","Rio","TuberiaFueraDentro","RioAce","NO","NO","SI","NO","NO","SI","SI","SI","SI","NO","NO","NO","NO","DCI_0"
"8465","Urbano","Pr_11","Mujer","IESSGen","Costa","3","7","Carretera","Depar","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","NO","DCI_0"
"7770","Urbano","Pr_10","Mujer","IESSGen","Costa","3","3","Empedrado","Depar","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","NO","SI","NO","SI","SI","NO","SI","SI","NO","DCI_1"
"18670","Urbano","Pr_23","Hombre","Ninguno","Costa","3","8","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"5445","Urbano","Pr_08","Mujer","IESSGen","Sierra","2","1","Carretera","Casa","Zinc","Ceramica","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","NO","SI","SI","SI","SI","NO","SI","SI","SI","DCI_0"
"7903","Rural","Pr_10","Hombre","Ninguno","Costa","1","4","Empedrado","Casa","Teja","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","TuberiaFueraDentro","Red","NO","SI","NO","NO","NO","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
"8947","Rural","Pr_11","Mujer","Ninguno","Costa","3","7","Lastrado","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Queman","ExclusivoHogar","PozoSeptico","Tuberia","DentroVivienda","Ebotellada","NO","NO","SI","NO","NO","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"11055","Rural","Pr_13","Hombre","Ninguno","Sierra","3","8","Carretera","Rancho","Zinc","Tabla","Cania","Bueno","Bueno","Bueno","Gas","Queman","NoTiene","PozoSeptico","Pozo","TuberiaFueraDentro","PozoEntubado","NO","NO","NO","NO","SI","NO","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"8288","Urbano","Pr_11","Mujer","IESSGen","Costa","3","8","Carretera","Casa","Asbesto","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
"5420","Urbano","Pr_08","Mujer","Ninguno","Sierra","3","1","Carretera","Mediagua","Hormigon","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","Compartido","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","DCI_1"
"13467","Urbano","Pr_16","Hombre","IESSGen","Oriente","3","4","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Otro","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"16752","Rural","Pr_21","Mujer","Ninguno","Oriente","3","1","Empedrado","Mediagua","Zinc","Tabla","Madera","Regular","Bueno","Regular","Gas","Municipio","NoTiene","PozoSeptico","Tuberia","TuberiaFueraDentro","PozoEntubado","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","DCI_1"
"17192","Rural","Pr_21","Hombre","Ninguno","Oriente","3","1","Carretera","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"16066","Rural","Pr_20","Mujer","Ninguno","Insular","3","8","Lastrado","Casa","Zinc","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","NO","NO","SI","NO","NO","SI","NO","SI","SI","NO","NO","NO","NO","DCI_1"
"8684","Rural","Pr_11","Mujer","Ninguno","Costa","3","2","Carretera","Mediagua","Teja","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","TuberiaFueraDentro","Red","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO","NO","NO","NO","DCI_1"
"1627","Urbano","Pr_04","Mujer","IESSGen","Costa","3","1","Carretera","Depar","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","NO","SI","SI","SI","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
"3545","Rural","Pr_06","Hombre","Ninguno","Costa","3","3","Lastrado","Casa","Asbesto","Cemento","Hormigon","Regular","Regular","Regular","Gas","Queman","ExclusivoHogar","PozoSeptico","Tuberia","TuberiaFueraDentro","Tuberia","NO","NO","SI","NO","NO","SI","NO","SI","SI","NO","NO","NO","NO","DCI_1"
"6473","Urbano","Pr_09","Mujer","IESSGen","Sierra","3","4","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","NO","SI","NO","SI","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
"18897","Urbano","Pr_23","Hombre","Ninguno","Costa","3","8","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Repartidor","NO","NO","SI","NO","NO","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"16807","Rural","Pr_21","Mujer","Ninguno","Oriente","3","4","Empedrado","Casa","Teja","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","NO","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"17150","Rural","Pr_21","Hombre","Ninguno","Oriente","3","4","Empedrado","Casa","Zinc","Tabla","Madera","Malo","Malo","Malo","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","NO","SI","NO","SI","SI","NO","SI","NO","SI","DCI_0"
"8120","Rural","Pr_10","Hombre","Ninguno","Costa","1","2","Lastrado","Casa","Hormigon","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","TuberiaFueraDentro","Red","NO","NO","SI","NO","NO","SI","NO","SI","SI","SI","SI","SI","SI","DCI_0"
"11776","Urbano","Pr_13","Hombre","Ninguno","Sierra","3","1","Empedrado","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","DCI_0"
"10891","Urbano","Pr_13","Mujer","Ninguno","Sierra","5","2","Empedrado","Cuarto","Zinc","Cemento","Asbesto","Bueno","Regular","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","TuberiaFueraDentro","Ebotellada","NO","NO","SI","NO","SI","NO","NO","SI","NO","NO","SI","SI","SI","DCI_0"
"14863","Urbano","Pr_18","Mujer","IESSGen","Costa","3","6","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"3704","Urbano","Pr_07","Mujer","Ninguno","Sierra","3","2","Carretera","Casa","Asbesto","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","NO","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"15720","Urbano","Pr_19","Hombre","IESSGen","Oriente","3","8","Carretera","Casa","Asbesto","Cemento","Hormigon","Malo","Regular","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","SI","SI","NO","SI","SI","SI","SI","NO","NO","DCI_0"
"186","Urbano","Pr_01","Mujer","IESSGen","Costa","3","8","Carretera","Casa","Hormigon","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","NO","SI","SI","NO","SI","NO","SI","SI","NO","SI","NO","NO","DCI_0"
"19941","Urbano","Pr_24","Mujer","Ninguno","Sierra","3","2","Carretera","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Ebotellada","NO","NO","SI","NO","NO","SI","NO","NO","SI","NO","SI","NO","NO","DCI_1"
"6114","Urbano","Pr_09","Hombre","Ninguno","Sierra","3","2","Carretera","Casa","Zinc","Ceramica","Asbesto","Regular","Bueno","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","NO","SI","NO","SI","NO","SI","SI","SI","SI","SI","SI","SI","DCI_0"
"20294","Urbano","Pr_90","Mujer","Ninguno","Costa","3","8","Empedrado","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","Pozo","Otro","Ebotellada","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"10915","Urbano","Pr_13","Mujer","IESSGen","Sierra","3","6","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"8636","Urbano","Pr_11","Mujer","Ninguno","Costa","1","3","Carretera","Mediagua","Hormigon","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","SI","SI","NO","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"7528","Rural","Pr_09","Mujer","Ninguno","Sierra","3","1","Lastrado","Casa","Zinc","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Repartidor","NO","NO","SI","NO","SI","SI","NO","SI","SI","NO","SI","NO","SI","DCI_0"
"17956","Rural","Pr_22","Hombre","Ninguno","Oriente","3","8","Sendero","Mediagua","Zinc","Tabla","Madera","Regular","Regular","Regular","Gas","Municipio","NoTiene","PozoSeptico","Pozo","TuberiaFueraDentro","PozoEntubado","NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","DCI_0"
"15523","Rural","Pr_19","Mujer","Ninguno","Oriente","3","3","Lastrado","Casa","Zinc","Tabla","Madera","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","PozoCiego","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","SI","SI","SI","DCI_0"
"6383","Urbano","Pr_09","Hombre","Ninguno","Sierra","3","2","Carretera","Casa","Zinc","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO","NO","NO","NO","DCI_1"
"5672","Urbano","Pr_08","Hombre","Ninguno","Sierra","2","2","Lastrado","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","NoTiene","NoTiene","RedPublica","TuberiaFueraDentro","Red","NO","SI","SI","NO","SI","SI","NO","NO","SI","NO","SI","SI","SI","DCI_0"
"6054","Rural","Pr_08","Hombre","Ninguno","Sierra","3","8","Lastrado","Rancho","Zinc","Tabla","Cania","Bueno","Bueno","Bueno","Gas","Entierran","NoTiene","PozoSeptico","Rio","Otro","RioAce","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","DCI_0"
"2249","Urbano","Pr_05","Mujer","IESSGen","Costa","3","5","Carretera","Depar","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","NO","SI","SI","NO","SI","SI","SI","DCI_0"
"15834","Rural","Pr_19","Mujer","IESSGen","Oriente","3","5","Carretera","Casa","Zinc","Ceramica","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","NO","SI","SI","SI","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
"9009","Urbano","Pr_12","Hombre","IESSGen","Sierra","1","2","Carretera","Depar","Zinc","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","NO","SI","SI","NO","NO","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"1981","Rural","Pr_04","Hombre","Ninguno","Costa","3","4","Carretera","Mediagua","Asbesto","Tierra","Adobe","Bueno","Malo","Malo","Gas","Municipio","NoTiene","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","NO","SI","SI","SI","SI","NO","SI","SI","SI","DCI_0"
"16774","Urbano","Pr_21","Hombre","IESSGen","Oriente","3","4","Empedrado","Casa","Zinc","Tabla","Madera","Regular","Regular","Regular","Gas","Queman","Compartido","PozoSeptico","Pozo","TuberiaFuera","PozoNoProteg","NO","NO","SI","NO","NO","SI","NO","SI","NO","NO","SI","SI","SI","DCI_1"
"17047","Rural","Pr_21","Hombre","Ninguno","Oriente","1","2","Lastrado","Rancho","Zinc","Tabla","Madera","Bueno","Bueno","Bueno","Gas","Calle","NoTiene","NoTiene","Pozo","Otro","PozoEntubado","NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","SI","SI","SI","DCI_1"
"15459","Urbano","Pr_19","Hombre","Ninguno","Oriente","3","3","Carretera","Casa","Hormigon","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","NO","SI","NO","SI","SI","NO","SI","SI","SI","NO","NO","NO","DCI_1"
"16286","Urbano","Pr_20","Mujer","IESSGen","Insular","3","2","Carretera","Depar","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Ebotellada","NO","NO","SI","NO","SI","SI","SI","SI","SI","NO","NO","NO","NO","DCI_0"
"19031","Urbano","Pr_23","Mujer","Ninguno","Costa","3","8","Carretera","Casa","Hormigon","Cemento","Asbesto","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"6805","Urbano","Pr_09","Mujer","IESSGen","Sierra","3","5","Carretera","Casa","Zinc","Cemento","Asbesto","Malo","Malo","Malo","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"436","Rural","Pr_01","Hombre","IESSGen","Costa","3","2","Lastrado","Depar","Asbesto","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","NO","SI","SI","NO","SI","SI","SI","SI","NO","NO","NO","NO","DCI_1"
"6937","Urbano","Pr_09","Mujer","Ninguno","Sierra","3","4","Lastrado","Depar","Zinc","Cemento","Asbesto","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","SI","SI","NO","NO","SI","SI","NO","SI","SI","SI","DCI_0"
"6198","Urbano","Pr_09","Hombre","Ninguno","Sierra","3","7","Carretera","Depar","Zinc","Ceramica","Hormigon","Regular","Regular","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
"3374","Rural","Pr_06","Hombre","Ninguno","Costa","1","4","Carretera","Casa","Hormigon","Ceramica","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","NO","SI","NO","SI","SI","NO","SI","SI","SI","DCI_0"
"8924","Rural","Pr_11","Hombre","Ninguno","Costa","3","8","Carretera","Depar","Hormigon","Ceramica","Madera","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"11553","Rural","Pr_13","Mujer","Ninguno","Sierra","3","7","Lastrado","Rancho","Zinc","Tierra","Cania","Regular","Malo","Malo","Gas","Queman","NoTiene","PozoSeptico","Rio","TuberiaFueraDentro","ManatialProtegida","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","DCI_0"
"12791","Rural","Pr_15","Hombre","Ninguno","Oriente","1","2","Carretera","Casa","Zinc","Tabla","Madera","Malo","Malo","Malo","Lenia","Municipio","ExclusivoHogar","PozoCiego","Tuberia","DentroVivienda","Tuberia","NO","NO","NO","NO","NO","SI","SI","NO","SI","NO","SI","SI","SI","DCI_1"
"18150","Rural","Pr_22","Mujer","Ninguno","Oriente","1","7","Rio","Mediagua","Zinc","Tabla","Madera","Bueno","Bueno","Bueno","Lenia","Calle","NoTiene","NoTiene","Rio","Otro","RioAce","NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO","SI","SI","DCI_0"
"12124","Urbano","Pr_14","Hombre","Ninguno","Oriente","3","6","Carretera","Mediagua","Zinc","Cemento","Hormigon","Regular","Regular","Malo","Gas","Municipio","Compartido","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","NO","NO","NO","SI","NO","NO","SI","SI","NO","NO","NO","DCI_0"
"16020","Rural","Pr_19","Mujer","Ninguno","Oriente","3","8","Sendero","Casa","Zinc","Tabla","Madera","Regular","Regular","Regular","Lenia","Queman","NoTiene","NoTiene","Tuberia","TuberiaFueraDentro","Tuberia","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","DCI_1"
"14109","Urbano","Pr_17","Mujer","IESSGen","Costa","3","6","Carretera","Casa","Hormigon","Ceramica","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","SI","SI","NO","SI","SI","SI","NO","NO","SI","SI","DCI_0"
"6847","Urbano","Pr_09","Mujer","Ninguno","Sierra","3","6","Lastrado","Casa","Zinc","Cemento","Hormigon","Bueno","Regular","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","Repartidor","Otro","Ebotellada","SI","NO","SI","SI","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"11156","Rural","Pr_13","Mujer","Ninguno","Sierra","3","7","Lastrado","Rancho","Zinc","Tabla","Cania","Regular","Regular","Bueno","Gas","Calle","ExclusivoHogar","PozoSeptico","Pozo","Otro","PozoNoProteg","NO","NO","SI","NO","SI","NO","NO","NO","SI","NO","SI","SI","SI","DCI_0"
"19579","Urbano","Pr_23","Hombre","Ninguno","Costa","3","1","Carretera","Casa","Zinc","Tabla","Hormigon","Malo","Malo","Malo","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"16479","Urbano","Pr_21","Hombre","Ninguno","Oriente","4","6","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","NO","SI","SI","NO","NO","SI","NO","SI","NO","NO","DCI_0"
"16959","Urbano","Pr_21","Mujer","Ninguno","Oriente","3","8","Lastrado","Casa","Zinc","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","SI","SI","SI","DCI_0"
